Song,Artist,Genre,Recommended by DJ...,DJ Notes,Listener Notes,,
Kilby Girl,The Backseat Lovers,Rock,Ramstein,Know it's a Charles pleaser,It is indeed! - DJ Chunk,,
No Good,Kaleo,Alternative,DJ Cuz,Jokull Juliusson >. Thats it. Thats the tweet.,Instant foot tapper! I'm a fan - DJ Midge,This got me off the couch to run - DJ Chunk,I am listening to this playlist on shuffle again and I was like dang this one is good. came to comment and realized I already did. -Dj Midge
Rollercoaster,Bleachers,Electropop,DJ Cuz,Google said electropop... if thats the case Im an electropop guy,This song got me a Strava segment PR - DJ IDWADN,,
Love Me to Heaven,The Jonas Brothers,Pop/Rock,DJ Cuz,Im on a Jonas Brothers kick... just a bunch of nostalgic underrated bops,,,
Sally When the Wine Runs Out,Role Model,Alternative,DJ Cuz,Little mainstreamy at the moment. Bridge just works.,,,
Runaways,The Killers,Alternative,DJ Cuz,This is just draft pick 1.01 for me always.,I'm late to get into comments but need to say thank you for unlocking so many memories and helping me introduce my 5 year old son to the killers ! he's a big fan :) - dj rocket,,
Baby Don't Talk,Leon,Indie Pop,DJ Gymnast,Leon is the just the best.,,,
Walk,Griff,Pop,DJ Gymnast,Walk right into this fab song!,,,
Want Want,Maggie Rogers,Alternative,DJ Gymnast,I trust all of you know this banger by the fab Maggie Rogers... but just in case...,New one for me. You can rest assured that I will not know any pop hits - DJ IDWADN,LOVE maggie rogers - DJ Midge,
Medicine,Robinson,Pop,DJ Gymnast,This has been on my playlist for 8 years... glad its on another one now.,Very glad - DJ Chunk,"Love it, instant shock value with the f word in the chorus - DJ IDWADN",love this one so much! - DJ Midge
Boys Will Be Girls,Keir,Indie Pop,DJ Morganism,The Heated Rivalry soundtrack is incredible. ,"We had to look up Heated Rivalry, and so with this song got a certified jam AND a show on the to watch list - DJ Chunk",Love this - DJ IDWADN,love this one too! - DJ Midge also need to watch HEated Rivalry
Lumiere,Alfa Rococo,Indie Pop,DJ Morganism,Same reason as above but this time in French. ,Love. This. As soon as it started I knew I was going to be obsessed. -DJ Knitting Needles,,
Outnumbered ,Dermot Kennedy,Folk Pop,DJ Morganism,One of my favorite songs for years. I need other people to know it exists. ,,,
Wrecking Ball,Bruce Springsteen,Rock,DJ I Don't Want a DJ Name,This is the better Wrecking Ball,BRUUUUUUUUUUUUUUUCE - DJ Chunk,The only wrecking ball - DJ Mil,
Still the Same,Bob Seger,Classic Rock,DJ I Don't Want a DJ Name,"I'm here to fill the ""Oldies"" quota",Jocelyn I can hear you saying this out loud and it made me smile. I will listen - DJ Midge ,,
Strange Game,Mick Jagger,Rock,DJ I Don't Want a DJ Name,"Yes, it's a TV show theme. But it's Mick Jagger, people. ",,,
Hardwood Floors,Charles Wesley Godwin,,DJ Rocket,,Love this! - DJ Chunk,Ear worm for sure - DJ IDWADN,Literally singing along the first time I heard it. So good. -DJ KN
Ass Like That,Victoria Monet,Cont R&B,DJ Midge,One of my all time favorites. Makes squats more fun,"""squats"" - her husband","""Rude - DJ Midge"" - DJ Chunk",Hahaha classic DJ Midgechunk
Flower Moon,Misterwives,Indie Pop,DJ Midge,I have a girl crush on Mandy Lee and like anything she creates,,,
Free,Florence and the Machine,Indie Pop,DJ Midge,Another all time fav that I enjoy singing at full volume ,Total jam - DJ Chunk AGREE - DJ IDWADN,,
Good Together,Lake Street Dive,? ,DJ Midge,"Catchy, fun bop",Love it. Check out Good Kisser - DJ Ram,,
Witchoo,Durand Jones and the Indications,Funk,DJ Schiff,my favorite song I heard in 2025,,,
Wonderful,Burna Boy,afropop,DJ Schif,Nigeria makes so much good music,Boogied hard - DJ Chunk,Obsessed - DJIDWADN,Flames. Couldn't agree more. West African music just slaps. - Mil
Una Noche en Caracas,Astropical,dance,DJ Schif,dare you not to move those hips,"Are we to believe Maduro ""just happened"" to be kidnapped right after you suggested this song - DJ Chunk",,
Hasta La Raiz,Natalia LaFourcade,Folk Pop,Mr. DJ B,"Mexican classic, career resurgence after super poppy hits in the early 2000s",This one is REALLY growing on me - DJ Chunk,,
My Type,Saint Motel,Electropop ,Mr. DJ B,FIFA playlist exemplified,Always been a big fan of this song. Great call! - DJ Ram,I just envision napping on the couch while you lead Hotspur to another Premier League title - DJ Chunk,
Rollin' Stone,Muddy Waters,Blues,Mr. DJ B,"Godfather of Rock/R&B, where the Rolling Stones got their name!",My dad lost a hard fight to name my sister after this man. - DJ Schiff,To be fair I think a girl named Muddy Waters in Tabernacle would have been a real boy named Sue situation - DJ Mil,
Give Up The Funk,Parliament,Funk,Mr. DJ B ,This playlist is severely lacking funk ,,,
Thread,Winyah,Rock,Ramstein,"Get here before everybody knows their name. They're on tour now, seen them twice, going to their last show in Boston in May!","WNXP here in Nashville loves Winyah, public radio ftw",,
Better Not Look Down,B.B. King,Blues,DJ Chunk,"I'm in the middle of another marathon build and this is always one of my jams. If the advice is good enough for the Queen of England, it's good enough for me. Keep the hammer down, keep it full speed ahead.",Oh B.B. - DJ Mil,,
(I'm) Stung,Pond,Psych,DJ Mil,Main guy in this band is like a weird little Australian Bowie. They've got some great stuff. You can expect a lot out of Perth from me. Cool scene.,I find this song stuck in my head more and more often - DJ Chunk,,
Hiccup,Umphrey's McGee,Rock,DJ Mil,Just a solid groove,"added this one to my ""songs mags loves"" playlist-DJ Midge",,
The Milkman,Petey USA,Rock,DJ Mil,"Pure angst. Odd pick for me, but for some reason really like this guy.",Dripping in angst and I love it hahaha - DJ Chunk,mags and I agree they need to just add horns and achieve their destiny as a ska band,
I've Been Waiting For You,Scarlet Opera,Pop Punk,DJ TKO,The soundtrack to my 2026 recap,,,
Freaks,Haute & Freddy,Electropop ,DJ TKO,The word carnival comes to mind,,,
19th Hour,Griff,Pop,DJ TKO,This has like classical fingerprints all over it and it's a earworm,,,
Attention Whore (feat Channel Tres),Tove Lo,Electropop,DJ TKO,Can't get over this entire album,,,
Shots on the Hood of my Car,Kesha,Pop,DJ TKO,B-side from her animal era. VERY good,kyle this song is terrible - schiff,2010 maggie is jammin - DJ Midge,
Back on the Market,Gavin Turek,Disco,DJ TKO,I have been obsessed with this song for like a month. It's pure disco bliss,This was the first of your songs I listened to and it was stuck in my head all weekend in the best way - DJ Chunk,,
(Fuck Him) He's A DJ,Kesha,Electropop,DJ TKO,"Ok, this is also a bside and I've been obsessed for years",,,
The Razor,Head Automatica,Punk,DJ TKO,Oldie -- emo and weird and fun,,,
Black Cadillacs,Modest Mouse,Indie Rock,DJ TKO,Listened to this entire album recently on a plane (15 years? RUFKM?) and this holds up,,,
These Things Will Come To Be,DJ Seinfeld,Electronica,DJ TKO,I'm kind of into deep house / deep electro for the gym recently? Lots of Fred Again.... led me here. p good,"Digging this! Saw Fred in Chicago during his current tour. Just wowzers. Hope to see him Again..
- DJ Ram",,
COLORS,AVAION,Dance/Electronic,Ramstein,Inspired by DJ TKO to add some Dance/Electronic. Enjoy!,,,
VIRUS,"GEN.KLOUD, Odd Mob",Dance/Electronic,Ramstein,Boots and pants and boots and pants and boots and pants,,,
Better,nimino. Manta,Dance/Electronic,Ramstein,"You'll move your head a bit, then your neck, then your shoulders and all of a sudden you're dancing on your own",,,
In The Middle,"Daniel Allan, Arden Jones",Dance/Electronic,Ramstein,"Close your eyes, be mine for a little",,,
Different Time,Swimming Paul,Dance/Electronic,Ramstein,Feels like a mix between between 2026 and 1996 which are in fact different times,I did not expect the lyrics of a Dance/Electronic song by someone named Swimming Paul to hit me so hard in the feels - DJ Chunk,,
Give it Time,Goose ,Rock,DJ Chunk,This one just builds and builds and builds and then there's drums and I love it ,I feel like I should be in a mega church listening to this - DJ Midge,Is this a Christian rock band? -DJ IDWADJN,
Disco,Geese,Rock,DJ Morganism,It's a good song but mostly I just wanted Geese to be near Goose :) ,Hahahaha I never remember which of these two bands sings the songs I like by these two bands - DJ Chunk,lol the Geese/Goose struggle is real. Maybe one day their kids will form a band called Goslings - DJ Morganism,
Dublin Blues,Guy Clark,Folk ,DJ Older Twin,"A somewhat somber, nostalgic feel of guitar strumming song with a slight string background.  Take away the lyrics, and the music could be in a Ken Burns Civil War documentary.  A good rainy day song while you're inside.",,,
May I Never,Hayes Carll,Americana?,DJ Older Twin,A slowed-down guitar and piano song that feels like it belongs in a Sunday morning church service.  I enjoy the lyrics about self-reflection and staying true to yourself.,big fan - DJ Midge,,
Lake Marie,John Prine,Folk,DJ Older Twin,"A more upbeat folksy song that could be the movie Fargo in a song...it's about two lakes, the twin lakes....and a potential murder.  Need I say more?",John Prine is always welcome - DJ Chunk,,
Sons & Daughters,The Decemberists,Indie Rock,DJ Older Twin,Need I say more than this song was in The Office albeit with a bit more of a folk-tune to it?  A song that feels nostalgic and hopeful at the same time.,"This song is a classic, I love it - DJ Chunk, Agreed- DJ Midge",,
Midnight Moves,Brown Oak Assembly,Indie Rock/Jam ,DJ Older Twin,A jamish song that I listened to at least 20 times the day I found it. ,Love this one too! -DJ Midge,,